diseaseId,diseaseName,did
C1970173,"Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of",173
C0265268,Adams Oliver syndrome,174
C4551482,Adams-Oliver syndrome 1,175
C3280182,ADAMS-OLIVER SYNDROME 2,176
C3553748,ADAMS-OLIVER SYNDROME 3,177
C3809092,ADAMS-OLIVER SYNDROME 4,178
C0001403,Addison Disease,179
C0338106,Adenocarcinoma of colon,180
C0279628,Adenocarcinoma Of Esophagus,181
C1319315,Adenocarcinoma of large intestine,182
C0152013,Adenocarcinoma of lung (disorder),183
C0007112,Adenocarcinoma of prostate,184
C0205641,"Adenocarcinoma, Basal Cell",185
C4016849,"ADENOCARCINOMA, COLONIC, SOMATIC",186
C1569637,"Adenocarcinoma, Endometrioid",187
C0205642,"Adenocarcinoma, Oxyphilic",188
C0205645,"Adenocarcinoma, Tubular",189
C0010606,Adenoid Cystic Carcinoma,190
C0205646,"Adenoma, Basal Cell",191
C0205648,"Adenoma, Microcystic",192
C0205649,"Adenoma, Monomorphic",193
C0205651,"Adenoma, Trabecular",194
C0032580,Adenomatous Polyposis Coli,195
C0206677,Adenomatous Polyps,196
C2931781,Adenosine monophosphate deaminase deficiency,197
C1863224,"Adenosine Triphosphate, Elevated, Of Erythrocytes",198
C2675459,"Adenylate Kinase Deficiency, Hemolytic Anemia Due To",199
C0268126,Adenylosuccinate lyase deficiency (disorder),200
C4721811,Adenylosuccinate lyase deficiency type 1,201
C4721814,Adenylosuccinate lyase deficiency type 2,202
C4721813,Adenylosuccinate lyase deficiency type 3,203
C4721812,Adenylosuccinate lyase deficiency type 4,204
C3542500,ADH-Resistant Diabetes Insipidus,205
C0752288,Adjustment Sleep Disorder,206
C4014538,"ADNP-related multiple congenital anomalies, intellectual disability, autism spectrum disorder",207
C0750887,Adrenal Cancer,208
C0206667,Adrenal Cortical Adenoma,209
C4551683,Adrenal Gland Pheochromocytoma,210
C2931782,Adrenal hyperplasia 2,211
C0268285,"Adrenal hyperplasia, congenital, type 5",212
C3502132,"Adrenal Insufficiency, Congenital, With 46,Xy Sex Reversal",213
C3151055,"ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE",214
C0206686,Adrenocortical carcinoma,215
C0342388,Adrenocorticotropic hormone (ACTH) deficiency (disorder),216
C0162309,Adrenoleukodystrophy,217
C0282525,"Adrenoleukodystrophy, Neonatal",218
C1527231,Adrenomyeloneuropathy,219
C0751606,Adult Acute Lymphocytic Leukemia,220
C1332201,Adult Diffuse Large B-Cell Lymphoma,221
C0341703,Adult Fanconi syndrome,222
C0751172,Adult Glycogen Storage Disease Type II,223
C0279607,Adult Hepatocellular Carcinoma,224
C0220597,Adult Hodgkin Lymphoma,225
C0268413,Adult hypophosphatasia (disorder),226
C0268374,Adult junctional epidermolysis bullosa (disorder),227
C0278876,Adult Medulloblastoma,228
C0751716,Adult Neuroaxonal Dystrophy,229
C0022797,Adult Neuronal Ceroid Lipofuscinosis,230
C0279070,Adult Oligodendroglioma,231
C3164344,Adult onset autosomal dominant leukodystrophy,232
C0751914,Adult Pelizaeus-Merzbacher Disease,233
C3887650,Adult Rickets,234
C0751489,Adult Sandhoff Disease,235
C0023493,Adult T-Cell Lymphoma/Leukemia,236
C0221056,Adult type dermatomyositis,237
C1332218,Adult Type Ovarian Granulosa Cell Tumor,238
C1863844,Adult-onset citrullinemia type 2,239
C0752197,Adult-Onset Dystonias,240
C0752198,Adult-Onset Idiopathic Focal Dystonias,241
C0752199,Adult-Onset Idiopathic Torsion Dystonias,242
C1842914,Adult-Onset Vitelliform Macular Dystrophy,243
C0751758,Advanced Sleep Phase Syndrome,244
C3808874,"ADVANCED SLEEP PHASE SYNDROME, FAMILIAL, 2",245
C1858496,"Advanced Sleep-Phase Syndrome, Familial",246
C0001733,Afibrinogenemia,247
C0343640,African Burkitt's lymphoma,248
C0001768,Agammaglobulinemia,249
C3152144,"AGAMMAGLOBULINEMIA 1, AUTOSOMAL RECESSIVE",250
C3150750,"AGAMMAGLOBULINEMIA 2, AUTOSOMAL RECESSIVE",251
C3150751,"AGAMMAGLOBULINEMIA 3, AUTOSOMAL RECESSIVE",252
C3150752,"AGAMMAGLOBULINEMIA 4, AUTOSOMAL RECESSIVE",253
C3150753,"AGAMMAGLOBULINEMIA 5, AUTOSOMAL DOMINANT",254
C3150207,"AGAMMAGLOBULINEMIA 6, AUTOSOMAL RECESSIVE",255
C1832241,"Agammaglobulinemia, non-Bruton type",256
C1845903,"AGAMMAGLOBULINEMIA, X-LINKED, TYPE 2 (disorder)",257
C0085758,"Aganglionosis, Colonic",258
C1257840,"Aganglionosis, Rectosigmoid Colon",259
C0242383,Age related macular degeneration,260
C2880562,Age-related cortical cataract,261
C0175754,Agenesis of corpus callosum,262
C0031106,Aggressive Periodontitis,263
C0001824,Agranulocytosis,264
C1879312,Agyria,265
C4014419,"AHDC1-related intellectual disability, obstructive sleep apnea, mild dysmorphism syndrome",266
C1837530,AICAR Transformylase Inosine Monophosphate Cyclohydrolase Deficiency,267
C0393591,AICARDI-GOUTIERES SYNDROME,268
C0796126,AICARDI-GOUTIERES SYNDROME 1,269
C3150315,"AICARDI-GOUTIERES SYNDROME 1, AUTOSOMAL DOMINANT",270
C3489724,Aicardi-Goutieres Syndrome 2,271
C1835916,AICARDI-GOUTIERES SYNDROME 3,272
C1835912,AICARDI-GOUTIERES SYNDROME 4,273
C2749659,AICARDI-GOUTIERES SYNDROME 5 (disorder),274
C3539013,AICARDI-GOUTIERES SYNDROME 6,275
C0001890,Akinetic Petit Mal,276
C0751207,Akinetic-Rigid Variant of Huntington Disease,277
C1848651,Al Awadi syndrome,278
C4540156,AL KAISSI SYNDROME,279
C4085595,AL-RAQAD SYNDROME,280
C3809738,"ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME",281
C4310702,ALAZAMI-YUAN SYNDROME,282
C4551971,"Albers-Schonberg Disease, Autosomal Recessive",283
C0001916,Albinism,284
C2931875,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells,285
C0078917,"Albinism, Ocular",286
C0078918,"Albinism, Oculocutaneous",287
C0342683,"ALBINISM, OCULOCUTANEOUS, TYPE III",288
C3888401,"ALBINISM, OCULOCUTANEOUS, TYPE V",289
C3805375,"ALBINISM, OCULOCUTANEOUS, TYPE VI",290
C3808786,"ALBINISM, OCULOCUTANEOUS, TYPE VII",291
C0085762,Alcohol abuse,292
C0237123,Alcohol or Other Drugs use,293
C3146244,Alcohol Related Birth Defect,294
C0814154,Alcohol Related Neurodevelopmental Disorder,295
C1879677,Alcohol Toxicity,296
C0001956,Alcohol Use Disorder,297
C0001957,Alcohol Withdrawal Delirium,298
C0586323,Alcohol Withdrawal Seizures,299
C0236663,Alcohol withdrawal syndrome,300
C0751865,"Alcohol-Induced Disorders, Nervous System",301
C0001969,Alcoholic Intoxication,302
C0001973,"Alcoholic Intoxication, Chronic",303
C0002018,Alexia,304
C0002066,Alkaptonuria,305
C4693347,ALKURAYA-KUCINSKAS SYNDROME,306
C0795889,Allan-Herndon-Dudley syndrome (AHDS),307
C2607914,Allergic rhinitis (disorder),308
C0002152,Alloxan Diabetes,309
C0431363,Alobar Holoprosencephaly,310
C0002170,Alopecia,311
C0002171,Alopecia Areata,312
C0263505,Alopecia universalis,313
C1859877,Alopecia universalis congenita,314
C4083212,"Alopecia, Male Pattern",315
C2677535,"Alopecia, Neurologic Defects, and Endocrinopathy Syndrome",316
C1859878,Alopecia-Mental Retardation Syndrome 1,317
C0205710,Alpers Syndrome (disorder),318
C1260396,Alpha thalassemia intermedia,319
C0268187,"alpha, alpha-Trehalase deficiency",320
C3279661,alpha-2-Macroglobulin Deficiency,321
C2752081,ALPHA-2-PLASMIN INHIBITOR DEFICIENCY,322
C1527317,Alpha-Aminoadipic Semialdehyde Deficiency Disease,323
C1837317,Alpha-B Crystallinopathy,324
C2936406,alpha-Dystroglycanopathies,325
C2752074,ALPHA-KETOGLUTARATE DEHYDROGENASE DEFICIENCY,326
C0024748,alpha-Mannosidosis,327
C3280428,Alpha-Methylacyl-CoA Racemase Deficiency,328
C2936332,Alpha-Sarcoglycanopathies,329
C0002312,alpha-Thalassemia,330
C0795917,"Alpha-Thalassemia Mental Retardation Syndrome, Deletion-Type",331
C0475813,Alpha-thalassemia/mental retardation syndrome (301040) is an allelic disorder,332
C1835931,"ALPHA/BETA T-CELL LYMPHOPENIA WITH GAMMA/DELTA T-CELL EXPANSION, SEVERE CYTOMEGALOVIRUS INFECTION, AND AUTOIMMUNITY",333
C1567741,Alport Syndrome,334
C4746986,"ALPORT SYNDROME 1, X-LINKED",335
C4746745,"ALPORT SYNDROME 2, AUTOSOMAL RECESSIVE",336
C4746547,"ALPORT SYNDROME 3, AUTOSOMAL DOMINANT",337
C1567743,"Alport Syndrome, Autosomal Dominant",338
C1567744,"Alport Syndrome, Autosomal Recessive",339
C2931253,"Alport syndrome, dominant type",340
C1846242,"Alport Syndrome, Mental Retardation, Midface Hypoplasia, and Elliptocytosis",341
C2931254,"Alport syndrome, recessive type",342
C1567742,"Alport Syndrome, X-Linked",343
C0268425,Alstrom Syndrome,344
C0338488,Alternating hemiplegia of childhood,345
C3549447,ALTERNATING HEMIPLEGIA OF CHILDHOOD 1,346
C3553788,ALTERNATING HEMIPLEGIA OF CHILDHOOD 2,347
C0002382,Alveolar Bone Loss,348
C2677362,Alveolar capillary dysplasia,349
C0034219,Alveolar pyorrhea,350
C0206655,Alveolar rhabdomyosarcoma,351
C0206657,Alveolar Soft Part Sarcoma,352
C4721507,"Alveolitis, Fibrosing",353
C1847200,ALZHEIMER DISEASE 4,354
C1837149,Alzheimer Disease 9,355
C0750901,"Alzheimer Disease, Early Onset",356
C0494463,"Alzheimer Disease, Late Onset",357
C1838990,"ALZHEIMER DISEASE, SUSCEPTIBILITY TO, MITOCHONDRIAL",358
C0002395,Alzheimer's Disease,359
C0750900,"Alzheimer's Disease, Focal Onset",360
C0376288,Amaurosis,361
C2931258,"Amaurosis congenita of Leber, type 1",362
C1857588,Amaurosis hypertrichosis,363
C0282220,Amaurotic Familial Idiocy,364
C0266362,Ambiguous Genitalia,365
C0002452,Amelogenesis Imperfecta,366
C0399372,Amelogenesis Imperfecta hypomaturation type,367
C0399367,Amelogenesis imperfecta local hypoplastic form,368
C2931783,Amelogenesis imperfecta nephrocalcinosis,369
C1290537,Amelogenesis imperfecta pigmented hypomaturation type,370
C0399373,"Amelogenesis imperfecta, hypomaturation hypoplasia type with taurodontism",371
C2673922,"Amelogenesis Imperfecta, Hypomaturation Type, Iia1",372
C2675858,"Amelogenesis Imperfecta, Hypomaturation Type, Iia2",373
C2750771,"Amelogenesis Imperfecta, Hypomaturation Type, Iia3",374
C3553830,"AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA4",375
C4014578,"AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA5",376
C4310665,"AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA6",377
C1845053,"Amelogenesis Imperfecta, Hypomaturation Type, with Snow-Capped Teeth",378
C1845052,"AMELOGENESIS IMPERFECTA, HYPOPLASTIC/HYPOMATURATION, X-LINKED 1",379
C4011403,"AMELOGENESIS IMPERFECTA, TYPE IA",380
C0399368,"Amelogenesis Imperfecta, Type IB",381
C2673923,"Amelogenesis Imperfecta, Type Ic",382
C4225394,"AMELOGENESIS IMPERFECTA, TYPE IF",383
C4015557,"AMELOGENESIS IMPERFECTA, TYPE IH",384
C0399376,"Amelogenesis Imperfecta, Type III",385
C4539891,"AMELOGENESIS IMPERFECTA, TYPE IIIB",386
C4310630,"AMELOGENESIS IMPERFECTA, TYPE IJ",387
C1863012,"Amelogenesis Imperfecta, Type IV",388
C1527310,Ametropia,389
C0750905,"Amino Acid Metabolism, Inherited Disorders",390
C1835922,Aminoacylase 1 deficiency,391
C3542499,Aminoacylase 2 Deficiency,392
C3495483,Amish Brittle Hair Brain Syndrome,393
C1836824,Amish Infantile Epilepsy Syndrome,394
C0002622,Amnesia,395
C0236807,Amphetamine Abuse,396
C0236804,Amphetamine Addiction,397
C4551986,AMR Syndrome,398
C0393679,Amygdalo-Hippocampal Epilepsy,399
C2936915,"Amylo-1,6-glucosidase deficiency",400
C0002726,Amyloidosis,401
C4554601,Amyloidosis cutis dyschromia,402
C0740340,"Amyloidosis, Familial",403
C0268389,"Amyloidosis, familial visceral",404
C0268397,"Amyloidosis, Primary Cutaneous",405
C4551501,"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1",406
C3151404,"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 2",407
C4554421,"AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 3",408
C0002736,Amyotrophic Lateral Sclerosis,409
C1862939,AMYOTROPHIC LATERAL SCLEROSIS 1,410
C2675491,AMYOTROPHIC LATERAL SCLEROSIS 11,411
C3150692,AMYOTROPHIC LATERAL SCLEROSIS 12,412
C3275459,"AMYOTROPHIC LATERAL SCLEROSIS 15, WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA",413
C3280587,"AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE",414
C3553719,AMYOTROPHIC LATERAL SCLEROSIS 18,415
C1859807,"AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE (disorder)",416
C3715156,AMYOTROPHIC LATERAL SCLEROSIS 20,417
C3807521,AMYOTROPHIC LATERAL SCLEROSIS 21,418
C4015512,AMYOTROPHIC LATERAL SCLEROSIS 22 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA,419
C4693381,AMYOTROPHIC LATERAL SCLEROSIS 23,420
C1865409,"Amyotrophic Lateral Sclerosis 4, Juvenile",421
C1865864,AMYOTROPHIC LATERAL SCLEROSIS 5,422
C1837728,AMYOTROPHIC LATERAL SCLEROSIS 8 (disorder),423
C2678468,Amyotrophic Lateral Sclerosis 9,424
C0393554,Amyotrophic Lateral Sclerosis With Dementia,425
C1836076,"Amyotrophic Lateral Sclerosis, Chmp2B-Related",426
C4551993,"Amyotrophic Lateral Sclerosis, Familial",427
C0543859,"Amyotrophic Lateral Sclerosis, Guam Form",428
C1862941,"Amyotrophic Lateral Sclerosis, Sporadic",429
C1834304,"AMYOTROPHY, HEREDITARY NEURALGIC",430
C1865384,"Amyotrophy, monomelic",431
C0334579,Anaplastic astrocytoma,432
C0205696,Anaplastic carcinoma,433
C0280788,Anaplastic Ependymoma,434
C0334590,Anaplastic Oligodendroglioma,435
C1846796,Anauxetic dysplasia,436
C4551965,ANAUXETIC DYSPLASIA 1,437
C4479357,ANAUXETIC DYSPLASIA 2,438
C1563715,Andersen Syndrome,439
C3715192,"ANDIBULAR HYPOPLASIA, DEAFNESS, PROGEROID FEATURES, AND LIPODYSTROPHY SYNDROME",440
C0162311,Androgenetic Alopecia,441
C0002871,Anemia,442
C3810185,"ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE Ib",443
C1260899,"Anemia, Diamond-Blackfan",444
C1857719,"Anemia, Diamond-Blackfan, 3",445
C0002878,"Anemia, Hemolytic",446
C0002879,"Anemia, Hemolytic, Acquired",447
C0002881,"Anemia, Hemolytic, Congenital",448
C0002882,"Anemia, Hemolytic, Congenital Nonspherocytic",449
C0002883,"Anemia, Hemolytic, Idiopathic Acquired",450
C0221409,"Anemia, hereditary spherocytic hemolytic",451
C2673913,"Anemia, Hypochromic Microcytic, With Iron Overload",452
C3806153,"ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 1",453
C3808920,"ANEMIA, HYPOCHROMIC MICROCYTIC, WITH IRON OVERLOAD 2",454
C0002886,"Anemia, Macrocytic",455
C0002888,"Anemia, Megaloblastic",456
C0002889,"Anemia, Microangiopathic",457
C0002891,"Anemia, Neonatal",458
C2720289,"ANEMIA, NONSPHEROCYTIC HEMOLYTIC, DUE TO G6PD DEFICIENCY",459
C0002895,"Anemia, Sickle Cell",460
C4225425,"ANEMIA, SIDEROBLASTIC, 2, PYRIDOXINE-REFRACTORY",461
C4225155,"ANEMIA, SIDEROBLASTIC, 3, PYRIDOXINE-REFRACTORY",462
C4225428,"ANEMIA, SIDEROBLASTIC, 4",463
C1845028,"ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA",464
C2673914,"Anemia, Sideroblastic, Pyridoxine-Refractory, Autosomal Recessive",465
C0002902,Anencephaly,466
C0751000,"Aneurysm, Anterior Cerebral Artery",467
C0740386,"Aneurysm, Anterior Communicating Artery",468
C0751001,"Aneurysm, Basilar Artery",469
C1862932,"ANEURYSM, INTRACRANIAL BERRY, 1 (disorder)",470
C0740385,"Aneurysm, Middle Cerebral Artery",471
C0740387,"Aneurysm, Posterior Cerebral Artery",472
C0751002,"Aneurysm, Posterior Communicating Artery",473
C1739384,Angel shaped phalangoepiphyseal dysplasia,474
C0162635,Angelman Syndrome,475
C0002965,"Angina, Unstable",476
C1527197,Angioblastic Meningioma,477
C2363903,Angiocentric glioma,478
C0019243,"Angioedemas, Hereditary",479
C0020981,Angioimmunoblastic Lymphadenopathy,480
