GeneID,id
8467,703
23071,704
6633,705
4904,706
3315,707
83861,708
51567,709
55611,710
5338,711
84868,712
200728,713
24140,714
257,715
55214,716
9584,717
202559,718
3956,719
10987,720
84309,721
8864,722
4193,723
5076,724
9479,725
11162,726
81689,727
9326,728
54680,729
3476,730
10726,731
50943,732
5286,733
50628,734
127602,735
817,736
23066,737
9690,738
6616,739
200081,740
25764,741
8539,742
118924,743
10810,744
1981,745
1958,746
5307,747
51270,748
11215,749
23354,750
112399,751
8915,752
57161,753
23307,754
10128,755
2146,756
4306,757
5629,758
51231,759
27022,760
11016,761
9586,762
4089,763
6424,764
84708,765
79036,766
222484,767
150084,768
695,769
3316,770
1144,771
90231,772
7040,773
3912,774
9475,775
9219,776
6660,777
10980,778
26234,779
894,780
11335,781
4035,782
83903,783
286148,784
8065,785
3169,786
55170,787
6655,788
152503,789
1819,790
3301,791
3985,792
8328,793
55072,794
123879,795
79656,796
56998,797
11060,798
7329,799
8030,800
11051,801
7088,802
6187,803
23521,804
79682,805
79172,806
960,807
2035,808
22818,809
9092,810
6632,811
91947,812
79023,813
1026,814
3688,815
8516,816
830,817
92241,818
4723,819
28958,820
57606,821
56139,822
1495,823
4543,824
4338,825
55003,826
998,827
201176,828
55905,829
4292,830
4107,831
100134938,832
10653,833
6778,834
9252,835
6598,836
9314,837
6688,838
2904,839
116443,840
100526693,841
81873,842
10200,843
80142,844
10061,845
53833,846
53832,847
90933,848
93474,849
10212,850
6652,851
4841,852
3066,853
3337,854
79621,855
3560,856
7421,857
90627,858
7249,859
79109,860
5159,861
4832,862
27241,863
5515,864
23510,865
1176,866
11326,867
4297,868
1387,869
7169,870
10134,871
8829,872
3184,873
9146,874
7879,875
1105,876
55660,877
5689,878
5714,879
4713,880
4358,881
2689,882
23173,883
660,884
3981,885
200558,886
1964,887
5165,888
115207,889
22948,890
7027,891
2932,892
4170,893
7409,894
7277,895
339669,896
4123,897
54039,898
167227,899
56893,900
51726,901
975,902
5093,903
4613,904
55198,905
26060,906
8604,907
84258,908
91289,909
23047,910
22794,911
3676,912
79908,913
2948,914
7846,915
55327,916
98,917
58487,918
58,919
9643,920
307,921
1429,922
64744,923
11104,924
55755,925
10142,926
4869,927
84549,928
3028,929
283208,930
256646,931
1033,932
64283,933
57122,934
54867,935
79784,936
7168,937
5241,938
9612,939
5516,940
2887,941
5295,942
1398,943
1373,944
253260,945
6422,946
57648,947
10652,948
7428,949
6774,950
1019,951
2671,952
4092,953
8554,954
832,955
2011,956
9274,957
83932,958
6135,959
5594,960
3183,961
1737,962
10412,963
79080,964
7317,965
54778,966
10376,967
5530,968
2026,969
55643,970
51759,971
10040,972
9911,973
84661,974
23074,975
54967,976
595,977
115939,978
4350,979
113251,980
10253,981
51028,982
10915,983
5965,984
9477,985
5311,986
342510,987
