geneID,Gene_name,gid
3930,LBR,737
6667,SP1,738
4598,MVK,739
51478,HSD17B7,740
2224,FDPS,741
10654,PMVK,742
6309,SC5D,743
1718,DHCR24,744
3157,HMGCS1,745
4597,MVD,746
3158,HMGCS2,747
1717,DHCR7,748
4801,NFYB,749
4047,LSS,750
5447,POR,751
2222,FDFT1,752
3638,INSIG1,753
1528,CYB5A,754
4800,NFYA,755
6713,SQLE,756
3156,HMGCR,757
50814,NSDHL,758
6721,SREBF2,759
57646,USP28,760
55294,FBXW7,761
9097,USP14,762
7158,TP53BP1,763
23028,KDM1A,764
4609,MYC,765
63967,CLSPN,766
7375,USP4,767
9958,USP15,768
9099,USP2,769
9101,USP8,770
7398,USP1,771
10869,USP19,772
8237,USP11,773
25898,RCHY1,774
5166,PDK4,775
5165,PDK3,776
8050,PDHX,777
2308,FOXO1,778
1375,CPT1B,779
7352,UCP3,780
1737,DLAT,781
5164,PDK2,782
5162,PDHB,783
57546,PDP2,784
5163,PDK1,785
10891,PPARGC1A,786
5160,PDHA1,787
5161,PDHA2,788
1738,DLD,789
10083,USH1C,790
51168,MYO15A,791
79633,FAT4,792
53841,CDHR5,793
10518,CIB2,794
8825,LIN7A,795
54825,CDHR2,796
30851,TAX1BP3,797
64072,CDH23,798
54798,DCHS2,799
7399,USH2A,800
257629,ANKS4B,801
340990,OTOG,802
4647,MYO7A,803
65217,PCDH15,804
6900,CNTN2,805
8642,DCHS1,806
124590,USH1G,807
64699,TMPRSS3,808
7401,CLRN1,809
83878,USHBP1,810
4648,MYO7B,811
5898,RALA,812
57148,RALGAPB,813
6300,MAPK12,814
5899,RALB,815
10890,RAB10,816
23179,RGL1,817
6714,SRC,818
6517,SLC2A4,819
5863,RGL2,820
23233,EXOC6B,821
5603,MAPK13,822
79058,ASPSCR1,823
8773,SNAP23,824
1432,MAPK14,825
5601,MAPK9,826
23265,EXOC7,827
4627,MYH9,828
10640,EXOC5,829
4644,MYO5A,830
55770,EXOC2,831
6790,AURKA,832
149371,EXOC8,833
5519,PPP2R1B,834
4893,NRAS,835
54536,EXOC6,836
6775,STAT4,837
5599,MAPK8,838
5337,PLD1,839
382,ARF6,840
51552,RAB14,841
5880,RAC2,842
387,RHOA,843
8531,YBX3,844
55763,EXOC1,845
57186,RALGAPA2,846
9847,C2CD5,847
22866,CNKSR2,848
4643,MYO1E,849
5900,RALGDS,850
5872,RAB13,851
3265,HRAS,852
9649,RALGPS1,853
5602,MAPK10,854
5338,PLD2,855
5600,MAPK11,856
4641,MYO1C,857
5879,RAC1,858
11336,EXOC3,859
6810,STX4,860
4218,RAB8A,861
5867,RAB4A,862
3845,KRAS,863
10928,RALBP1,864
5881,RAC3,865
4628,MYH10,866
60412,EXOC4,867
6814,STXBP3,868
55971,BAIAP2L1,869
7454,WAS,870
2059,EPS8,871
10368,CACNG3,872
59285,CACNG6,873
774,CACNA1B,874
784,CACNB3,875
2904,GRIN2B,876
246329,STAC3,877
9495,AKAP5,878
773,CACNA1A,879
55012,PPP2R3C,880
116444,GRIN3B,881
1739,DLG1,882
779,CACNA1S,883
778,CACNA1F,884
8745,ADAM23,885
117144,CATSPER1,886
59284,CACNG7,887
1742,DLG4,888
4646,MYO6,889
9211,LGI1,890
777,CACNA1E,891
3359,HTR3A,892
53616,ADAM22,893
818,CAMK2G,894
6261,RYR1,895
254263,CNIH2,896
2890,GRIA1,897
8912,CACNA1H,898
786,CACNG1,899
93589,CACNA2D4,900
257062,CATSPERD,901
149111,CNIH3,902
816,CAMK2B,903
776,CACNA1D,904
10369,CACNG2,905
2891,GRIA2,906
378807,CATSPER4,907
2280,FKBP1A,908
27092,CACNG4,909
55799,CACNA2D3,910
116443,GRIN3A,911
785,CACNB4,912
815,CAMK2A,913
117155,CATSPER2,914
781,CACNA2D1,915
9254,CACNA2D2,916
775,CACNA1C,917
4193,MDM2,918
2903,GRIN2A,919
59283,CACNG8,920
57828,CATSPERG,921
2906,GRIN2D,922
2905,GRIN2C,923
782,CACNB1,924
347732,CATSPER3,925
2893,GRIA4,926
729993,SHISA9,927
93145,OLFM2,928
27091,CACNG5,929
2892,GRIA3,930
817,CAMK2D,931
783,CACNB2,932
79820,CATSPERB,933
2036,EPB41L1,934
2902,GRIN1,935
1454,CSNK1E,936
4040,LRP6,937
324,APC,938
5579,PRKCB,939
5754,PTK7,940
5529,PPP2R5E,941
59349,KLHL12,942
11211,FZD10,943
54361,WNT4,944
59343,SENP2,945
168002,DACT2,946
2776,GNAQ,947
2932,GSK3B,948
4041,LRP5,949
7478,WNT8A,950
25805,BAMBI,951
57154,SMURF1,952
139285,AMER1,953
8313,AXIN2,954
92597,MOB1B,955
1855,DVL1,956
9113,LATS1,957
26524,LATS2,958
55233,MOB1A,959
7855,FZD5,960
2931,GSK3A,961
1457,CSNK2A1,962
5516,PPP2CB,963
5578,PRKCA,964
80319,CXXC4,965
25937,WWTR1,966
8395,PIP5K1B,967
1459,CSNK2A2,968
53944,CSNK1G1,969
115908,CTHRC1,970
8452,CUL3,971
166336,PRICKLE2,972
154810,AMOTL1,973
1499,CTNNB1,974
57216,VANGL2,975
5582,PRKCG,976
8312,AXIN1,977
23500,DAAM2,978
5525,PPP2R5A,979
440193,CCDC88C,980
51421,AMOTL2,981
10023,FRAT1,982
1455,CSNK1G2,983
4920,ROR2,984
2775,GNAO1,985
7481,WNT11,986
9620,CELSR1,987
23002,DAAM1,988
8321,FZD1,989
7471,WNT1,990
27130,INVS,991
4851,NOTCH1,992
8326,FZD9,993
81839,VANGL1,994
144165,PRICKLE1,995
8324,FZD7,996
5528,PPP2R5D,997
7479,WNT8B,998
10297,APC2,999
9978,RBX1,1000
85409,NKD2,1001
1452,CSNK1A1,1002
5347,PLK1,1003
7976,FZD3,1004
50855,PARD6A,1005
4007,PRICKLE3,1006
5515,PPP2CA,1007
81029,WNT5B,1008
51339,DACT1,1009
8325,FZD8,1010
2535,FZD2,1011
22881,ANKRD6,1012
1460,CSNK2B,1013
5216,PFN1,1014
283106,CSNK2A3,1015
5527,PPP2R5C,1016
8323,FZD6,1017
5518,PPP2R1A,1018
4853,NOTCH2,1019
55361,PI4K2A,1020
1857,DVL3,1021
85407,NKD1,1022
5526,PPP2R5B,1023
1453,CSNK1D,1024
4854,NOTCH3,1025
23401,FRAT2,1026
64750,SMURF2,1027
89780,WNT3A,1028
79657,RPAP3,1029
5499,PPP1CA,1030
5439,POLR2J,1031
11321,GPN1,1032
140460,ASB7,1033
5434,POLR2E,1034
9675,TTI1,1035
8725,URI1,1036
9440,MED17,1037
26015,RPAP1,1038
10856,RUVBL2,1039
8409,UXT,1040
79871,RPAP2,1041
65123,INTS3,1042
5202,PFDN2,1043
8607,RUVBL1,1044
5501,PPP1CC,1045
9685,CLINT1,1046
10471,PFDN6,1047
51575,ESF1,1048
55011,PIH1D1,1049
81572,PDRG1,1050
9326,ZNHIT3,1051
9894,TELO2,1052
8935,SKAP2,1053
140885,SIRPA,1054
961,CD47,1055
2534,FYN,1056
10942,PRSS21,1057
50863,NTM,1058
8875,VNN2,1059
4978,OPCML,1060
152330,CNTN4,1061
338328,GPIHBP1,1062
2813,GP2,1063
1368,CPM,1064
248,ALPI,1065
420,ART4,1066
147719,LYPD4,1067
4062,LY6H,1068
123904,NRN1L,1069
130576,LYPD6B,1070
8876,VNN1,1071
146760,RTN4RL1,1072
83639,TEX101,1073
8434,RECK,1074
4061,LY6E,1075
154064,RAET1L,1076
646627,LYPD8,1077
8000,PSCA,1078
135228,CD109,1079
80328,ULBP2,1080
257194,NEGR1,1081
349633,PLET1,1082
58530,LY6G6D,1083
6975,TECTB,1084
2350,FOLR2,1085
7070,THY1,1086
503542,SPRN,1087
1087,CEACAM7,1088
116372,LYPD1,1089
146183,OTOA,1090
2215,FCGR3B,1091
1048,CEACAM5,1092
5067,CNTN3,1093
53942,CNTN5,1094
2822,GPLD1,1095
54742,LY6K,1096
55350,VNN3P,1097
23627,PRND,1098
137797,LYPD2,1099
266727,MDGA1,1100
683,BST1,1101
161357,MDGA2,1102
419,ART3,1103
249,ALPL,1104
1043,CD52,1105
7512,XPNPEP2,1106
51299,NRN1,1107
4045,LSAMP,1108
80740,LY6G6C,1109
349667,RTN4RL2,1110
284348,LYPD5,1111
171169,SPACA4,1112
84628,NTNG2,1113
7007,TECTA,1114
22854,NTNG1,1115
353091,RAET1G,1116
8581,LY6D,1117
27076,LYPD3,1118
3207,HOXA11,1119
4211,MEIS1,1120
6376,CX3CL1,1121
59345,GNB4,1122
353164,TAS2R42,1123
2787,GNG5,1124
259294,TAS2R19,1125
4988,OPRM1,1126
4889,NPY5R,1127
719,C3AR1,1128
150,ADRA2A,1129
1233,CCR4,1130
2853,GPR31,1131
5173,PDYN,1132
3350,HTR1A,1133
2771,GNAI2,1134
6755,SSTR5,1135
7124,TNF,1136
56923,NMUR2,1137
1815,DRD4,1138
2921,CXCL3,1139
165140,OXER1,1140
50839,TAS2R10,1141
4886,NPY1R,1142
4986,OPRK1,1143
6352,CCL5,1144
259293,TAS2R30,1145
6752,SSTR2,1146
1132,CHRM4,1147
57007,ACKR3,1148
1230,CCR1,1149
339403,RXFP4,1150
6373,CXCL11,1151
63940,GPSM3,1152
