GeneID,id
10280,731
3422,732
6307,733
27339,734
7108,735
3930,736
6667,737
4598,738
51478,739
2224,740
10654,741
6309,742
1718,743
3157,744
4597,745
3158,746
1717,747
4801,748
4047,749
5447,750
2222,751
3638,752
1528,753
4800,754
6713,755
3156,756
50814,757
6721,758
57646,759
55294,760
9097,761
7158,762
23028,763
4609,764
63967,765
7375,766
9958,767
9099,768
9101,769
7398,770
10869,771
8237,772
25898,773
5166,774
5165,775
8050,776
2308,777
1375,778
7352,779
1737,780
5164,781
5162,782
57546,783
5163,784
10891,785
5160,786
5161,787
1738,788
10083,789
51168,790
79633,791
53841,792
10518,793
8825,794
54825,795
30851,796
64072,797
54798,798
7399,799
257629,800
340990,801
4647,802
65217,803
6900,804
8642,805
124590,806
64699,807
7401,808
83878,809
4648,810
5898,811
57148,812
6300,813
5899,814
10890,815
23179,816
6714,817
6517,818
5863,819
23233,820
5603,821
79058,822
8773,823
1432,824
5601,825
23265,826
4627,827
10640,828
4644,829
55770,830
6790,831
149371,832
5519,833
4893,834
54536,835
6775,836
5599,837
5337,838
382,839
51552,840
5880,841
387,842
8531,843
55763,844
57186,845
9847,846
22866,847
4643,848
5900,849
5872,850
3265,851
9649,852
5602,853
5338,854
5600,855
4641,856
5879,857
11336,858
6810,859
4218,860
5867,861
3845,862
10928,863
5881,864
4628,865
60412,866
6814,867
55971,868
7454,869
2059,870
10368,871
59285,872
774,873
784,874
2904,875
246329,876
9495,877
773,878
55012,879
116444,880
1739,881
779,882
778,883
8745,884
117144,885
59284,886
1742,887
4646,888
9211,889
777,890
3359,891
53616,892
818,893
6261,894
254263,895
2890,896
8912,897
786,898
93589,899
257062,900
149111,901
816,902
776,903
10369,904
2891,905
378807,906
2280,907
27092,908
55799,909
116443,910
785,911
815,912
117155,913
781,914
9254,915
775,916
4193,917
2903,918
59283,919
57828,920
2906,921
2905,922
782,923
347732,924
2893,925
729993,926
93145,927
27091,928
2892,929
817,930
783,931
79820,932
2036,933
2902,934
1454,935
4040,936
324,937
5579,938
5754,939
5529,940
59349,941
11211,942
54361,943
59343,944
168002,945
2776,946
2932,947
4041,948
7478,949
25805,950
57154,951
139285,952
8313,953
92597,954
1855,955
9113,956
26524,957
55233,958
7855,959
2931,960
1457,961
5516,962
5578,963
80319,964
25937,965
8395,966
1459,967
53944,968
115908,969
8452,970
166336,971
154810,972
1499,973
57216,974
5582,975
8312,976
23500,977
5525,978
440193,979
51421,980
10023,981
1455,982
4920,983
2775,984
7481,985
9620,986
23002,987
8321,988
7471,989
27130,990
4851,991
8326,992
81839,993
144165,994
8324,995
5528,996
7479,997
