GOID,id
0046330,1332
0051091,1333
0060070,1334
0060071,1335
0090103,1336
0150012,1337
0016235,1338
0045177,1339
0006997,1340
0010564,1341
0030838,1342
0032496,1343
0043065,1344
0045664,1345
0048711,1346
0060988,1347
1901380,1348
1902430,1349
1902960,1350
1903946,1351
1904878,1352
0019828,1353
0070063,1354
0031674,1355
0043196,1356
0044300,1357
0060987,1358
0090571,1359
0098850,1360
0005483,1361
0007154,1362
0001891,1363
0001523,1364
0003139,1365
0003148,1366
0003223,1367
0006629,1368
0008283,1369
0008584,1370
0015889,1371
0030001,1372
0030514,1373
0030900,1374
0034311,1375
0042359,1376
0043491,1377
0044321,1378
0050769,1379
0060068,1380
0060982,1381
0061156,1382
0070447,1383
0071363,1384
0097242,1385
0140058,1386
0150104,1387
1904447,1388
1904888,1389
1905167,1390
0005041,1391
0031994,1392
0042562,1393
0043235,1394
0000209,1395
0006513,1396
0010332,1397
0014823,1398
0032487,1399
0036120,1400
0042059,1401
0042594,1402
0043303,1403
0051865,1404
0070086,1405
0071456,1406
2000583,1407
0004842,1408
0030971,1409
0036312,1410
0046875,1411
0061630,1412
0016600,1413
0050871,1414
0005911,1415
0098982,1416
0002024,1417
0002025,1418
0006366,1419
0006939,1420
0007171,1421
0007188,1422
0009409,1423
0030501,1424
0031649,1425
0040015,1426
0045453,1427
0045744,1428
0045986,1429
0050873,1430
0061885,1431
0071875,1432
0071880,1433
0098990,1434
0141163,1435
1901098,1436
1904504,1437
1904646,1438
1990911,1439
0004941,1440
0008179,1441
0015459,1442
0051380,1443
0030119,1444
0001778,1445
0001818,1446
0007613,1447
0032715,1448
0032720,1449
0033602,1450
0046929,1451
0050765,1452
1900242,1453
1900424,1454
1903979,1455
1905162,1456
1905171,1457
1990927,1458
0031369,1459
0032009,1460
0048787,1461
0060076,1462
0060077,1463
0098691,1464
0007029,1465
0046907,1466
0051085,1467
0072318,1468
1905443,1469
0004674,1470
0004676,1471
0004677,1472
0004679,1473
0004694,1474
0004711,1475
0030332,1476
0035175,1477
0035402,1478
0035403,1479
0035979,1480
0044022,1481
0044023,1482
0044024,1483
0044025,1484
0072354,1485
0072371,1486
0072518,1487
0106310,1488
0140823,1489
0140855,1490
0140857,1491
1990244,1492
0006309,1493
0006941,1494
0007005,1495
0007033,1496
0010992,1497
0014004,1498
0030149,1499
0035128,1500
0035249,1501
0040008,1502
0045047,1503
0046677,1504
0048515,1505
0048630,1506
0048708,1507
