geneID,Gene_name,gid
5576,PRKAR2A,706
4149,MAX,707
163126,EID2,708
5678,PSG9,709
5670,PSG2,710
5058,PAK1,711
6988,TCTA,712
3224,HOXC8,713
23551,RASD2,714
91,ACVR1B,715
81788,NUAK2,716
10987,COPS5,717
196513,DCP1B,718
55802,DCP1A,719
6497,SKI,720
163,AP2B1,721
10783,NEK6,722
57510,XPO5,723
10131,TRAP1,724
5717,PSMD11,725
7030,TFE3,726
1745,DLX1,727
1111,CHEK1,728
51588,PIAS4,729
57381,RHOJ,730
51295,ECSIT,731
391,RHOG,732
55872,PBK,733
221079,ARL5B,734
55030,FBXO34,735
4205,MEF2A,736
65264,UBE2Z,737
84085,FBXO30,738
23090,ZNF423,739
5898,RALA,740
5865,RAB3B,741
79753,SNIP1,742
4090,SMAD5,743
29984,RHOD,744
5603,MAPK13,745
3300,DNAJB2,746
10256,CNKSR1,747
10457,GPNMB,748
55660,PRPF40A,749
9375,TM9SF2,750
4435,CITED1,751
7048,TGFBR2,752
9027,NAT8,753
58486,ZBED5,754
10664,CTCF,755
2308,FOXO1,756
5575,PRKAR1B,757
100506658,OCLN,758
51176,LEF1,759
9392,TGFBRAP1,760
115426,UHRF2,761
25925,ZNF521,762
3702,ITK,763
60676,PAPPA2,764
440275,EIF2AK4,765
9063,PIAS2,766
10401,PIAS3,767
22800,RRAS2,768
3205,HOXA9,769
7332,UBE2L3,770
7750,ZMYM2,771
51285,RASL12,772
2290,FOXG1,773
966,CD59,774
3726,JUNB,775
3727,JUND,776
2309,FOXO3,777
84932,RAB2B,778
8767,RIPK2,779
4303,FOXO4,780
81629,TSSK3,781
83871,RAB34,782
5872,RAB13,783
4893,NRAS,784
7554,ZNF8,785
23682,RAB38,786
2737,GLI3,787
1855,DVL1,788
140901,STK35,789
5880,RAC2,790
1602,DACH1,791
121268,RHEBL1,792
84206,MEX3B,793
54440,SASH3,794
6158,RPL28,795
8878,SQSTM1,796
56288,PARD3,797
57111,RAB25,798
4855,NOTCH4,799
8945,BTRC,800
2130,EWSR1,801
1386,ATF2,802
11338,U2AF2,803
3239,HOXD13,804
5936,RBM4,805
85313,PPIL4,806
83595,SOX7,807
6660,SOX5,808
6262,RYR2,809
3209,HOXA13,810
392255,GDF6,811
11284,PNKP,812
6839,SUV39H1,813
79723,SUV39H2,814
586,BCAT1,815
4221,MEN1,816
6421,SFPQ,817
6626,SNRPA,818
654,BMP6,819
5782,PTPN12,820
3048,HBG2,821
2316,FLNA,822
11171,STRAP,823
860,RUNX2,824
658,BMPR1B,825
6885,MAP3K7,826
8458,TTF2,827
7270,TTF1,828
1432,MAPK14,829
5608,MAP2K6,830
27107,ZBTB11,831
9580,SOX13,832
22992,KDM2A,833
51427,ZNF107,834
2547,XRCC6,835
55870,ASH1L,836
10413,YAP1,837
5606,MAP2K3,838
8520,HAT1,839
29068,ZBTB44,840
57559,STAMBPL1,841
28996,HIPK2,842
145258,GSC,843
7629,ZNF76,844
10691,GMEB1,845
3631,INPP4A,846
4762,NEUROG1,847
7205,TRIP6,848
55140,ELP3,849
90627,STARD13,850
5901,RAN,851
8850,KAT2B,852
51560,RAB6B,853
9698,PUM1,854
10001,MED6,855
6605,SMARCE1,856
379,ARL4D,857
7514,XPO1,858
85015,USP45,859
58473,PLEKHB1,860
22869,ZNF510,861
51035,UBXN1,862
84079,ANKRD27,863
3622,ING2,864
51304,ZDHHC3,865
9459,ARHGEF6,866
55643,BTBD2,867
4739,NEDD9,868
9457,FHL5,869
26151,NAT9,870
5707,PSMD1,871
231,AKR1B1,872
5692,PSMB4,873
657,BMPR1A,874
79674,VEPH1,875
27314,RAB30,876
7138,TNNT1,877
