geneID,Gene_name,gid
54997,TESC,1247
8812,CCNK,1248
10362,HMG20B,1249
10579,TACC2,1250
51317,PHF21A,1251
24137,KIF4A,1252
3191,HNRNPL,1253
79719,AAGAB,1254
9094,UNC119,1255
84103,C4orf17,1256
7277,TUBA4A,1257
1107,CHD3,1258
10980,COPS6,1259
113,ADCY7,1260
1937,EEF1G,1261
23476,BRD4,1262
6790,AURKA,1263
2550,GABBR1,1264
6856,SYPL1,1265
6844,VAMP2,1266
5992,RFX4,1267
5990,RFX2,1268
5991,RFX3,1269
5993,RFX5,1270
4261,CIITA,1271
8625,RFXANK,1272
5994,RFXAP,1273
6620,SNCB,1274
3028,HSD17B10,1275
8650,NUMB,1276
83941,TM2D1,1277
1410,CRYAB,1278
7042,TGFB2,1279
10513,APPBP2,1280
5645,PRSS2,1281
25,ABL1,1282
5300,PIN1,1283
3416,IDE,1284
7159,TP53BP2,1285
27429,HTRA2,1286
5646,PRSS3,1287
322,APBB1,1288
