GeneID1,GeneID2,weight
367,7041,1.0
367,1025,1.0
367,6840,1.0
367,10048,1.0
367,7337,1.0
367,27043,1.0
367,207,1.0
367,51588,1.0
367,2308,1.0
367,9063,1.0
367,10401,1.0
367,1386,1.0
367,2316,1.0
367,860,1.0
367,2547,1.0
367,5901,1.0
367,8850,1.0
367,55827,1.0
367,7050,1.0
367,6736,1.0
367,993,1.0
367,841,1.0
367,1956,1.0
367,5894,1.0
367,1021,1.0
367,3146,1.0
367,10513,1.0
367,3416,1.0
367,2932,1.0
367,857,1.0
367,10524,1.0
367,6041,1.0
367,6774,1.0
367,983,1.0
367,7251,1.0
367,3817,1.0
367,3428,1.0
367,11188,1.0
367,3320,1.0
367,898,1.0
367,5881,1.0
367,840,1.0
367,5883,1.0
367,8409,1.0
367,6925,1.0
367,3572,1.0
367,902,1.0
367,8648,1.0
367,2962,1.0
367,11140,1.0
367,4790,1.0
367,8202,1.0
367,4193,1.0
367,23028,1.0
367,10499,1.0
367,10114,1.0
367,291,1.0
367,7520,1.0
367,8431,1.0
367,5036,1.0
367,573,1.0
367,834,1.0
367,10514,1.0
367,8204,1.0
367,6047,1.0
367,2580,1.0
367,9282,1.0
367,25803,1.0
367,861,1.0
367,5728,1.0
367,7182,1.0
367,24148,1.0
367,1022,1.0
367,9325,1.0
367,2963,1.0
367,196,1.0
367,64324,1.0
367,994,1.0
367,5469,1.0
367,7110,1.0
367,5460,1.0
367,1329,1.0
367,4841,1.0
367,23426,1.0
367,55629,1.0
367,64800,1.0
367,10957,1.0
367,190,1.0
367,8805,1.0
367,9733,1.0
367,56924,1.0
367,55062,1.0
367,221037,1.0
367,29893,1.0
367,4306,1.0
367,10106,1.0
367,7181,1.0
367,547,1.0
367,8450,1.0
367,57786,1.0
367,3169,1.0
367,23132,1.0
367,7818,1.0
367,2119,1.0
367,1644,1.0
367,57178,1.0
367,25898,1.0
367,23780,1.0
55585,10273,1.0
10273,2099,1.0
10273,367,1.0
10273,55585,1.0
10273,7321,1.0
10273,7314,1.0
10273,4088,1.0
10273,3303,1.0
10273,10657,1.0
10273,4086,1.0
10273,3312,1.0
10273,4089,1.0
10273,4087,1.0
10273,6886,1.0
10273,57154,1.0
10273,7046,1.0
10273,3308,1.0
10273,658,1.0
10273,2064,1.0
10273,3320,1.0
10273,5710,1.0
10273,5684,1.0
10273,3337,1.0
10273,3297,1.0
10273,573,1.0
10273,4137,1.0
10273,85300,1.0
10273,3304,1.0
10273,4354,1.0
10273,2861,1.0
9921,1915,1.0
9921,7088,1.0
9921,10813,1.0
9921,1287,1.0
9921,60492,1.0
9921,9869,1.0
1915,9921,1.0
1915,56893,1.0
1915,8312,1.0
1915,5335,1.0
1915,27258,1.0
1915,4089,1.0
1915,4087,1.0
1915,7704,1.0
1915,6118,1.0
1915,4653,1.0
1915,7532,1.0
1915,8761,1.0
1915,5580,1.0
1915,5329,1.0
1915,8665,1.0
1915,60,1.0
1915,5678,1.0
1915,57510,1.0
1915,5717,1.0
1915,55643,1.0
1915,7050,1.0
