diseaseID,id
C2673186,522
C3151077,523
C3809513,524
C4015368,525
C0741160,526
C0162872,527
C0340630,528
C0003496,529
C0428791,530
C3887892,531
C3542024,532
C1260873,533
C0003504,534
C1853230,535
C0282160,536
C0158667,537
C0002874,538
C0348890,539
C1720779,540
C3151467,541
C3887949,542
C0264611,543
C0750927,544
C0454608,545
C0349391,546
C0431349,547
C2936786,548
C0003706,549
C0600176,550
C2675179,551
C0751750,552
C0751751,553
C0268547,554
C0078982,555
C1863878,556
C1855675,557
C0003803,558
C0750929,559
C0750931,560
C0750932,561
C0342686,562
C0349788,563
C1857777,564
C1864850,565
C1969081,566
C3810138,567
C1832931,568
C1858379,569
C1843896,570
C1836906,571
C0751851,572
C0751852,573
C0311375,574
C0274861,575
C1859727,576
C3276161,577
C0750987,578
C1865267,579
C1859726,580
C0003850,581
C0600359,582
C0003864,583
C0003865,584
C0971858,585
C0993582,586
C0003872,587
C0003886,588
C0220666,589
C1844934,590
C1859721,591
C4479539,592
C4748872,593
C0220662,594
C3280526,595
C1834523,596
C4310692,597
C3809910,598
C3280309,599
C1859722,600
C3150672,601
C0003949,602
C3809971,603
C2931840,604
C0236792,605
C1845341,606
C1845334,607
C0004030,608
C0004045,609
C4551856,610
C1970005,611
C0175707,612
C0403823,613
C0004096,614
C1319853,615
C1859648,616
C0264423,617
C1846534,618
C1837811,619
C1970224,620
C0004114,621
C0431406,622
C0271674,623
C1838916,624
C0751597,625
C1848533,626
C4015436,627
C1859598,628
C0796028,629
C1837015,630
C1970107,631
C1969796,632
C1969645,633
C0087012,634
C3554690,635
C4225397,636
C1858391,637
C4012790,638
C0004138,639
C1850554,640
C1832215,641
C1865372,642
C0004153,643
C0751415,644
C0796206,645
C0004238,646
C1843687,647
C3151464,648
C3279693,649
C3279695,650
C3809311,651
C3809312,652
C4014269,653
C4013699,654
C4310636,655
C1862394,656
C2677294,657
C2677106,658
C3151431,659
C1862389,660
C3279790,661
C1969657,662
C2748552,663
C2751315,664
C3276096,665
C3280790,666
C0344730,667
C3502353,668
C4551959,669
C3810401,670
C1859592,671
C0004245,672
C1853509,673
C1853508,674
C0041671,675
C1263846,676
C2751802,677
C4304022,678
C1332347,679
C0349579,680
C2931788,681
C0751776,682
C4510873,683
C3266863,684
C4225274,685
C1852271,686
C4521678,687
C2732267,688
C1836743,689
C0751257,690
C1842937,691
C1865295,692
C4551996,693
C3553404,694
C1510586,695
C2677504,696
C3150677,697
C3150693,698
C3554373,699
C0795888,700
C3275438,701
C3550875,702
C1845540,703
C1845539,704
C0856975,705
C0004352,706
C0241910,707
C3150649,708
C1842979,709
C3150797,710
C0002880,711
C4225334,712
C1328840,713
C1846545,714
C1858968,715
C3494489,716
C1855869,717
C2749602,718
C0085860,719
C0920350,720
C4479278,721
C4015067,722
C3553961,723
C3860213,724
C4707173,725
C0410190,726
C0752200,727
C4080064,728
C4274081,729
C4048195,730
C0265331,731
C1274214,732
C4755257,733
C0752097,734
C1838062,735
C4304021,736
C3661489,737
C3696898,738
C0752098,739
C4274761,740
C3494186,741
C3645536,742
C3683483,743
C4706412,744
C4755252,745
C3661525,746
C1450051,747
C1856871,748
C0752201,749
C0751603,750
C0342643,751
C4517996,752
C4707155,753
C0752100,754
C0085548,755
C3711387,756
C4274077,757
C4750857,758
C4707829,759
C4749431,760
C1275685,761
C0751111,762
C0004509,763
C1847540,764
C0037140,765
C4551967,766
C1868683,767
C0004610,768
C0004681,769
C3809650,770
C0752196,771
C1855794,772
C4284594,773
C1838239,774
C2931662,775
C1319466,776
C0752166,777
C2936862,778
C1859568,779
C1859569,780
C1859570,781
C2673873,782
C2673874,783
C3150127,784
C3889474,785
C3714980,786
C3806174,787
C3889475,788
C2936863,789
C4310707,790
C4319932,791
C1859564,792
C2936864,793
C3892039,794
C1858054,795
C1859565,796
C1859566,797
C1859567,798
C0242583,799
C2931418,800
C1858266,801
C1859534,802
C1859536,803
C1859537,804
C1859538,805
C1258085,806
C0004763,807
C0004775,808
C1855849,809
C1866495,810
C1846343,811
C1865270,812
C2751312,813
C4310805,814
C4310820,815
C0007117,816
C3838465,817
C0004779,818
C1843807,819
C0406707,820
C4225323,821
C4511230,822
C0751360,823
C0917713,824
C0004903,825
C4011788,826
C0004943,827
C0221061,828
C2930898,829
C4749273,830
C0270847,831
C0393584,832
C0751120,833
C0281784,834
C0270851,835
C0393693,836
C0154017,837
C0496899,838
C0153942,839
C0153943,840
C1851549,841
C1704272,842
C2363129,843
C0347284,844
C0005129,845
C3277076,846
C1856448,847
C0005136,848
C0005138,849
C2350873,850
C0005283,851
C0342738,852
C4048196,853
C2930900,854
C1291512,855
C1834674,856
C4225313,857
C0149630,858
C1859486,859
C0221363,860
C2750433,861
C2751431,862
C3887497,863
C0431663,864
C4551969,865
C0431692,866
C4255193,867
C2930471,868
C4274079,869
C2750087,870
C1843116,871
C1856127,872
C3151147,873
C1858328,874
C4225390,875
C4310624,876
C0740277,877
C0005411,878
C4274029,879
C0023892,880
C4551595,881
C0750952,882
C0005426,883
C0270786,884
C0751780,885
C0220754,886
C0005586,887
C0853193,888
C3150657,889
C2676770,890
C4539828,891
C0005689,892
C0005695,893
C3501679,894
C1853278,895
C3279614,896
C3554663,897
C4014584,898
C4015405,899
C4310797,900
