diseaseID,GeneID,score
C0002395,151,-0.93585646
C0002395,152,1.2238498
C0002395,153,1.2592745
C0002395,154,-0.012747418
C0002395,155,1.4706521
C0002395,160,-0.009210439
C0002395,161,-0.22092131
C0002395,162,0.17721514
C0002395,163,-0.015838318
C0002395,164,-0.17400989
C0002395,165,0.17403862
C0002395,174,-0.16803738
C0002395,175,0.7274066
C0002395,176,0.6231349
C0002395,177,0.19666484
C0002395,178,0.608278
C0002395,181,0.018591583
C0002395,182,-0.5073869
C0002395,183,-0.26901186
C0002395,185,-0.15549281
C0002395,186,0.017857544
C0002395,187,0.07233931
C0002395,189,0.20155796
C0002395,190,0.11599554
C0002395,196,-0.10246533
C0002395,197,0.63419443
C0002395,199,0.8727092
C0002395,203,0.9066854
C0002395,204,0.616256
C0002395,207,-0.30818868
C0002395,208,-0.18294644
C0002395,211,-0.80995286
C0002395,212,0.567344
C0002395,213,-0.8333515
C0002395,214,0.05171415
C0002395,215,0.5468023
C0002395,217,-0.1267397
C0002395,225,0.20834656
C0002395,226,0.58223015
C0002395,229,0.9171119
C0002395,230,-0.75314766
C0002395,231,-0.06457688
C0002395,238,-0.24989544
C0002395,239,0.64336544
C0002395,240,-1.1325605
C0002395,241,0.08521212
C0002395,242,0.9172591
C0002395,248,-1.4395697
C0002395,249,0.7689389
C0002395,250,-0.27578816
C0002395,259,0.87683344
C0002395,268,-0.22916001
C0002395,269,0.47621936
C0002395,270,0.43154773
C0002395,273,-0.19135298
C0002395,276,-1.2887843
C0002395,279,-0.14026374
C0002395,283,0.51752764
C0002395,284,-0.24515498
C0002395,285,-0.78348213
C0002395,286,0.40999585
C0002395,287,0.76489806
C0002395,288,1.7344277
C0002395,290,-0.08848562
C0002395,291,1.1831548
C0002395,292,-0.739539
C0002395,293,-0.2862219
C0002395,301,-0.7489836
C0002395,302,-0.068069
C0002395,306,0.72579294
C0002395,307,0.7925415
C0002395,308,-0.18028627
C0002395,309,0.8434045
C0002395,310,0.48206836
C0002395,311,0.42955825
C0002395,312,-0.42299408
C0002395,316,-0.081274055
C0002395,317,1.1783743
C0002395,319,-0.8550774
C0002395,320,-0.11863482
C0002395,321,0.44904986
C0002395,322,-0.44363707
C0002395,323,-0.24531542
C0002395,324,-0.42381844
C0002395,325,1.0981761
C0002395,326,0.76751447
C0002395,327,-0.24981529
C0002395,328,-0.91515875
C0002395,329,0.6050998
C0002395,330,-0.45493448
C0002395,331,-0.60510266
C0002395,332,0.046256337
C0002395,333,-0.6514662
C0002395,334,0.92047465
C0002395,335,-0.21620184
C0002395,336,0.22241506
C0002395,337,1.123026
C0002395,338,-1.5538131
C0002395,339,0.35005456
C0002395,131408,-0.17355008
C0002395,344,1.1477917
C0002395,347,0.9448737
C0002395,348,-0.23342991
C0002395,350,0.86979574
C0002395,351,-0.1943973
C0002395,354,-0.2561014
C0002395,355,-0.97046393
C0002395,356,-0.11025999
C0002395,357,-0.02491418
C0002395,358,-1.1638021
C0002395,360,0.87051594
C0002395,361,-0.19345233
C0002395,362,0.779885
C0002395,367,-0.2143327
C0002395,369,0.38667026
C0002395,372,0.41720042
C0002395,373,-0.8813567
C0002395,374,-0.11584293
C0002395,375,0.5366718
C0002395,377,-0.1538895
C0002395,131450,0.3564625
C0002395,379,-0.47095987
C0002395,378,-1.2646351
C0002395,381,-1.506852
C0002395,382,-0.08828792
C0002395,383,-0.07252005
C0002395,384,0.28834483
C0002395,387,1.4256779
C0002395,388,-0.1891508
C0002395,389,-0.1349926
C0002395,390,0.6378322
C0002395,391,-0.41908008
C0002395,392,-0.0560376
C0002395,393,0.118268184
C0002395,394,0.10693298
C0002395,396,0.64372194
C0002395,397,0.4080667
C0002395,398,0.18414766
C0002395,399,0.17478743
C0002395,400,0.08044717
C0002395,401,0.7726697
C0002395,402,-0.32397762
C0002395,403,0.37342393
C0002395,405,0.94128335
C0002395,406,0.6894379
C0002395,408,1.180989
C0002395,409,1.3913403
C0002395,410,-0.60060513
C0002395,416,-0.20465824
C0002395,417,-0.8058243
C0002395,421,1.252441
C0002395,427,1.3337379
C0002395,429,0.5168141
C0002395,430,0.1968897
C0002395,432,-0.12930238
C0002395,433,-1.2874217
C0002395,434,0.62123466
C0002395,440,0.6613665
C0002395,65979,-0.21099877
C0002395,444,0.6779613
C0002395,445,0.41170895
C0002395,65989,-0.24894065
C0002395,65991,-1.2229728
C0002395,65993,-0.34845808
C0002395,65997,0.39631498
C0002395,462,0.61610085
C0002395,463,0.63392687
C0002395,466,0.28333843
C0002395,467,-0.14851068
C0002395,468,1.2796692
C0002395,66005,-0.1512597
C0002395,472,-0.133444
C0002395,473,0.48643088
C0002395,474,0.37885642
C0002395,475,-0.022038616
C0002395,476,0.8813844
C0002395,477,0.9451379
C0002395,478,1.5051031
